2,34
2,331
2,291
2,288
2,282
2,251
2,26
2,284
2,265
2,276
2,274
2,312
2,323
2,328
2,278
2,258
2,244
2,248
2,23
2,217
2,216
2,215
2,228
2,227
2,208
2,185
2,203
2,178
2,17
2,165
2,146
2,137
2,132
2,115
2,125
2,117
2,125
2,123
2,139
2,139
2,139
2,133
2,113
2,113
2,141
2,168
2,186
2,161
2,138
2,134
2,126
2,122
2,111
2,126
2,151
2,175
2,153
2,161
2,154
2,171
2,209
2,212
2,189
2,165
2,14
2,136
2,134
2,13
2,151
2,157
2,14
2,134
2,137
2,136
2,117
2,115
2,121
2,114
2,128
2,119
2,105
2,088
2,059
2,075
2,071
2,056
2,071
2,06
2,061
2,103
2,145
2,185
2,135
2,204
2,175
2,21
2,29
2,294
2,4
2,296
2,244
2,277
2,325
2,324
2,253
2,277
2,251
2,258
2,242
2,272
2,272
2,272
2,282
2,285
2,285
2,252
2,247
2,232
2,235
2,231
2,232
2,238
2,221
2,175
2,166
2,18
2,169
2,2
2,175
2,183
2,181
2,185
2,201
2,22
2,213
2,195
2,193
2,177
2,193
2,201
2,193
2,203
2,191
2,18
2,175
2,176
2,191
2,182
2,178
2,183
2,186
2,179
2,169
2,16
2,166
2,161
2,141
2,137
2,141
2,141
2,132
2,137
2,152
2,154
2,157
2,153
2,138
2,138
2,138
2,139
2,124
2,131
2,151
2,159
2,176
2,169
2,158
2,163
2,152
2,147
2,164
2,178
2,209
2,209
2,22
2,193
2,186
2,171
2,17
2,158
2,161
2,162
2,16
2,163
2,154
2,152
2,159
2,137
2,13
2,132
2,137
2,141
2,139
2,139
2,153
2,145
2,138
2,137
2,139
2,142
2,143
2,14
2,14
2,14
2,146
2,142
2,151
2,169
2,158
2,153
2,16
2,161
2,161
2,161
2,168
2,17
2,188
2,187
2,17
2,166
2,168
2,168
2,152
2,146
2,168
2,14
2,138
2,152
2,147
2,148
2,146
2,15
2,162
2,158
2,157
2,148
2,144
2,134
2,145
2,135
2,132
2,14
2,144
2,152
2,152
2,15
2,149
2,146
2,141
2,143
2,141
2,135
2,135
2,13
2,137
2,134
2,126
2,134
2,136
2,133
2,131
2,124
