0,0	30,0	9,96
-3	21,43	12,75
-4	21,23	14,14
-5	21,02	15,54
-7	20,75	16,93
-9	20,48	19,72
-11	20,14	22,41
-13	19,73	23,21
-15	19,32	22,56
-18	18,85	21,94
-21	18,37	21,04
-24	17,89	20,20
-29	16,94	18,8
-32	16,46	18,05
-39	15,1	16,51
-40	14,7	15,7
-44	12,93	14,08
-38	12,86	15,43
-32	12,86	17,05
-28	12,86	18,14
-23	12,86	19,76
-17	12,38	21,53
-16	10,95	21,92
-20	8,78	21,11
-27	6,19	16,89
-32	3,95	13,08
-33	2,45	9,96
-28	1,7	9,96
-20	1,43	9,96
-12	1,29	9,96
-5	0,95	0,86
1	0,82	-1,52
7	0,82	-3,99
12	0,82	-7,04
15	0,82	-7,04
16	0,68	-7,04
14	0,34	-7,04
11	0,0	-7,04
8	0,0	-5,98
6	0,0	-3,99
3	0,0	-2,66
1	0,0	-1,33
0	0,0	0,0
